"name","Neg_Control_W_cladeReads","W61303224_cladeReads","W61304616_cladeReads","W61402281_cladeReads","W61402322_cladeReads","W61501463_cladeReads","W71607201_cladeReads","W72504187_cladeReads","W72803699_cladeReads","W72902029_cladeReads","W73007482_cladeReads","W73007677_cladeReads","W73007934_cladeReads","W73109775_cladeReads","W81802779_cladeReads","W90303891_cladeReads","W90504037_cladeReads","X01703004_cladeReads","X22106916_cladeReads","X30306045_cladeReads","cladeReads_mean","cladeReads_max"
"Xanthomonas sacchari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,82
"Sulfuriferula plumbiphila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,36,36
"Enterococcus faecium",NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21
"Roseomonas sp. CCTCC AB2023176",NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13
